eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,PoA,PoS
36072569-5768-4a98-81a0-bc8597077c7c,11,False,"[(109, 98)]",255,221,89,81,255,109,207,207,109,207,109,207,109,207,109,207,109,207,109,207,109,207,109,207,109,207,109,207,109,207.0,109.0,207.0,109.0,207.0,109.0,207.0,109.0,1.0,1.0
36072569-5768-4a98-81a0-bc8597077c7c,11,False,"[(98, 109)]",221,255,81,89,221,98,207,207,98,207,98,207,98,207,98,207,98,207,98,207,98,207,98,207,98,207,98,207,98,207.0,98.0,207.0,98.0,207.0,98.0,207.0,98.0,1.0,1.0
1fd0d453-1263-42b6-bc3a-757cc117511d,23,False,"[(128, 105), (116, 127)]",287,343,86,87,287,119,227,233,128,243,116,233,128,233,128,243,116,243,116,243,116,233,128,233,128,243,116,233,128,237.31550000000004,122.82140000000001,233.0,128.0,243.0,116.0,233.0,128.0,1.0704845814977975,1.026431718061674
1fd0d453-1263-42b6-bc3a-757cc117511d,23,False,"[(105, 128), (127, 116)]",343,287,87,86,343,108,227,233,105,243,127,233,105,233,105,243,127,243,127,243,127,233,105,233,105,243,127,233,105,237.31550000000004,114.4941,233.0,105.0,243.0,127.0,233.0,105.0,1.0704845814977975,1.026431718061674
db45761a-2bf8-4283-ad65-49a3669356f8,23,True,"[(117, 94)]",287,287,90,83,287,108,205,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211.0,117.0,211.0,117.0,211.0,117.0,211.0,117.0,1.0292682926829269,1.0292682926829269
db45761a-2bf8-4283-ad65-49a3669356f8,23,True,"[(94, 117)]",287,287,83,90,287,97,205,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211.0,94.0,211.0,94.0,211.0,94.0,211.0,94.0,1.0292682926829269,1.0292682926829269
fb5a4dac-002c-4595-880b-c43ca2d66c1d,0,True,"[(265, 585)]",265,585,75,216,265,265,850,850,265,850,265,850,265,850,265,850,265,850,265,850,265,850,265,850,265,850,265,850,265,850.0,265.0,850.0,265.0,850.0,265.0,850.0,265.0,1.0,1.0
fb5a4dac-002c-4595-880b-c43ca2d66c1d,0,True,"[(585, 265)]",585,265,216,75,585,585,850,850,585,850,585,850,585,850,585,850,585,850,585,850,585,850,585,850,585,850,585,850,585,850.0,585.0,850.0,585.0,850.0,585.0,850.0,585.0,1.0,1.0
07dccd29-a9ba-43fc-a66d-bcb22fd9d5a9,23,False,"[(142, 153), (167, 144)]",265,353,66,90,265,142,295,295,142,295,142,295,142,295,142,295,142,295,142,295,142,295,142,295,142,311,167,295,142,297.7973,146.3707,295.0,142.0,295.0,142.0,295.0,142.0,1.0542372881355933,1.0
07dccd29-a9ba-43fc-a66d-bcb22fd9d5a9,23,False,"[(153, 142), (144, 167)]",353,265,90,66,353,153,295,295,153,295,153,295,153,295,153,295,153,295,153,295,153,295,153,295,153,311,144,295,153,297.7973,151.4266,295.0,153.0,295.0,153.0,295.0,153.0,1.0542372881355933,1.0
