eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
5f4c138e-409e-4a8a-8f87-5096c0612f67,0,False,"[(67, 134), (81, 114)]",100,222,27,55,100,81,195,201,67,195,81,195,81,195,81,195,81,201,67,201,67,201,67,201,67,195,81,195,81,201.0,67.0,201.0,67.0,195.0,81.0,199.17680000000001,71.2541,1.0307692307692307,1.0
5f4c138e-409e-4a8a-8f87-5096c0612f67,0,False,"[(134, 67), (114, 81)]",222,100,55,27,222,114,195,201,134,195,114,195,114,195,114,195,114,201,134,201,134,201,134,201,134,195,114,195,114,201.0,134.0,201.0,134.0,195.0,114.0,199.17680000000001,127.9227,1.0307692307692307,1.0
0b37602c-32b5-4f32-9bf2-e41350898ec2,45,False,"[(141, 108), (154, 99)]",210,288,39,58,210,141,249,253,154,249,141,249,141,249,141,249,141,249,141,249,141,249,141,249,141,253,154,249,141,249.0,141.0,249.0,141.0,249.0,141.0,249.80700000000002,143.62279999999998,1.0160642570281124,1.0
0b37602c-32b5-4f32-9bf2-e41350898ec2,45,False,"[(108, 141), (99, 154)]",288,210,58,39,288,108,249,253,99,249,108,249,108,249,108,249,108,249,108,249,108,249,108,249,108,253,99,249,108,249.0,108.0,249.0,108.0,249.0,108.0,249.80700000000002,106.1842,1.0160642570281124,1.0
3d1e531e-3851-48f1-ab87-3a84cd18fdef,0,True,"[(59, 148), (63, 140)]",100,244,19,67,100,62,201,207,59,203,63,203,63,203,63,203,63,207,59,207,59,207,59,207,59,203,63,203,63,207.0,59.0,207.0,59.0,203.0,63.0,205.2365,60.7634,1.0298507462686568,1.0099502487562189
3d1e531e-3851-48f1-ab87-3a84cd18fdef,0,True,"[(148, 59), (140, 63)]",244,100,67,19,244,139,201,207,148,203,140,203,140,203,140,203,140,207,148,207,148,207,148,207,148,203,140,203,140,207.0,148.0,207.0,148.0,203.0,140.0,205.2365,144.4731,1.0298507462686568,1.0099502487562189
41655586-76d9-47fe-b23d-6848d230c629,11,True,"[(100, 56)]",100,56,41,11,100,102,149,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0469798657718121,1.0469798657718121
41655586-76d9-47fe-b23d-6848d230c629,11,True,"[(56, 100)]",56,100,11,41,56,47,149,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0469798657718121,1.0469798657718121
bc42abb7-fb7a-4bd6-8589-a87eb6bcc41d,67,True,"[(100, 672)]",100,672,23,177,100,113,765,772,100,772,100,772,100,772,100,772,100,772,100,772,100,772,100,772,100,772,100,772,100,772.0,100.0,772.0,100.0,772.0,100.0,772.0,100.0,1.0091503267973856,1.0091503267973856
bc42abb7-fb7a-4bd6-8589-a87eb6bcc41d,67,True,"[(672, 100)]",672,100,177,23,672,652,765,772,672,772,672,772,672,772,672,772,672,772,672,772,672,772,672,772,672,772,672,772,672,772.0,672.0,772.0,672.0,772.0,672.0,772.0,672.0,1.0091503267973856,1.0091503267973856
