eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
fb04ace9-5882-4cb6-aff0-505f1cc72a2d,7,True,"[(190, 40)]",190,40,133,28,190,190,230,230,190,230,190,230,190,230,190,230,190,230,190,230,190,230,190,230,190,230,190,230,190,230.0,190.0,230.0,190.0,230.0,190.0,230.0,190.0,1.0,1.0
fb04ace9-5882-4cb6-aff0-505f1cc72a2d,7,True,"[(40, 190)]",40,190,28,133,40,40,230,230,40,230,40,230,40,230,40,230,40,230,40,230,40,230,40,230,40,230,40,230,40,230.0,40.0,230.0,40.0,230.0,40.0,230.0,40.0,1.0,1.0
4489c872-a484-489a-9426-9e5fe99d3a1d,6,False,"[(100, 61), (96, 63)]",110,70,89,51,110,96,159,161,100,159,96,159,96,159,96,159,96,161,100,159,96,159,96,159,96,161,100,159,96,159.0,96.0,159.0029,96.0059,159.875,97.75,161.0,100.0,1.0125786163522013,1.0
4489c872-a484-489a-9426-9e5fe99d3a1d,6,False,"[(61, 100), (63, 96)]",70,110,51,89,70,63,159,161,61,159,63,159,63,159,63,159,63,161,61,159,63,159,63,159,63,161,61,159,63,159.0,63.0,159.0029,62.997,159.875,62.125,161.0,61.0,1.0125786163522013,1.0
07d75850-ac1b-43a5-bcc4-cf838c2d7a73,0,False,"[(50, 57)]",58,72,43,54,58,50,107,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107,50,107.0,50.0,107.0,50.0,107.0,50.0,107.0,50.0,1.0,1.0
07d75850-ac1b-43a5-bcc4-cf838c2d7a73,0,False,"[(57, 50)]",72,58,54,43,72,57,107,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107,57,107.0,57.0,107.0,57.0,107.0,57.0,107.0,57.0,1.0,1.0
8708667e-ebfc-45d8-b3fa-7c8726de0fba,13,True,"[(80, 88)]",80,88,60,67,80,84,155,168,80,168,80,168,80,168,80,168,80,168,80,168,80,168,80,168,80,168,80,168,80,168.0,80.0,168.0,80.0,168.0,80.0,168.0,80.0,1.0838709677419356,1.0838709677419356
8708667e-ebfc-45d8-b3fa-7c8726de0fba,13,True,"[(88, 80)]",88,80,67,60,88,71,155,168,88,168,88,168,88,168,88,168,88,168,88,168,88,168,88,168,88,168,88,168,88,168.0,88.0,168.0,88.0,168.0,88.0,168.0,88.0,1.0838709677419356,1.0838709677419356
66d70fbd-8b35-4d87-99bc-7f21d65c9be5,3,False,"[(44, 51), (45, 48)]",58,64,41,43,58,45,93,95,44,93,45,93,45,93,45,93,45,95,44,93,45,93,45,93,45,95,44,93,45,93.0,45.0,93.0,45.0,93.5517,44.7241,94.5,44.25,1.021505376344086,1.0
66d70fbd-8b35-4d87-99bc-7f21d65c9be5,3,False,"[(51, 44), (48, 45)]",64,58,43,41,64,48,93,95,51,93,48,93,48,93,48,93,48,95,51,93,48,93,48,93,48,95,51,93,48,93.0,48.0,93.0,48.0,93.5517,48.827600000000004,94.5,50.25,1.021505376344086,1.0
